date,hour,avg_energy,temperature,humidity,pressure,is_weekend,is_holiday
2019-01-01,0,1.2825,2.0,80.0,103.12,0,1
2019-01-01,1,1.4725000000000001,2.0,80.0,103.12,0,1
2019-01-01,2,1.1825,1.6,82.0,103.08,0,1
2019-01-01,3,1.0875,1.9,79.0,103.12,0,1
2019-01-01,4,1.0775000000000001,1.9,82.0,103.13,0,1
2019-01-01,5,1.075,2.1,80.0,103.08,0,1
2019-01-01,6,1.07,1.6,85.0,103.04,0,1
2019-01-01,7,1.1175000000000002,1.9,86.0,103.02,0,1
2019-01-01,8,1.04,2.3,82.0,103.09,0,1
2019-01-01,9,0.955,2.1,87.0,103.14,0,1
2019-01-01,10,0.9099999999999999,2.6,83.0,103.16,0,1
2019-01-01,11,0.825,2.9,81.0,103.14,0,1
2019-01-01,12,1.1225,3.6,77.0,103.13,0,1
2019-01-01,13,1.3475000000000001,4.7,74.0,103.04,0,1
2019-01-01,14,1.2875,5.0,69.0,102.94,0,1
2019-01-01,15,1.2275,5.1,68.0,102.91,0,1
2019-01-01,16,1.0775000000000001,4.9,68.0,102.9,0,1
2019-01-01,17,1.3,3.6,71.0,102.89,0,1
2019-01-01,18,1.3125,3.4,70.0,102.87,0,1
2019-01-01,19,1.4825,3.3,76.0,102.81,0,1
2019-01-01,20,0.9924999999999999,3.5,76.0,102.78,0,1
2019-01-01,21,1.6049999999999998,2.9,83.0,102.75,0,1
2019-01-01,22,1.385,3.5,80.0,102.7,0,1
2019-01-01,23,1.4149999999999998,3.8,76.0,102.69,0,1
2019-01-02,0,0.8125,3.7,77.5,102.62,0,0
2019-01-02,1,0.5475,3.6,79.0,102.55,0,0
2019-01-02,2,0.5299999999999999,3.3,81.0,102.53,0,0
2019-01-02,3,0.49,3.4,81.0,102.49,0,0
2019-01-02,4,0.4075,3.4,81.0,102.4,0,0
2019-01-02,5,0.6625000000000001,3.0,85.0,102.38,0,0
2019-01-02,6,0.7699999999999999,3.1,84.0,102.29,0,0
2019-01-02,7,0.7525000000000001,3.2,87.0,102.24,0,0
2019-01-02,8,1.27,3.6,84.0,102.16,0,0
2019-01-02,9,1.1425,3.7,85.0,102.19,0,0
2019-01-02,10,1.085,4.0,82.0,102.11,0,0
2019-01-02,11,1.6725,4.5,80.0,102.03,0,0
2019-01-02,12,2.295,5.2,70.0,102.02,0,0
2019-01-02,13,2.21,5.4,69.0,102.05,0,0
2019-01-02,14,3.0525,4.6,76.0,101.88,0,0
2019-01-02,15,2.795,3.8,86.0,101.69,0,0
2019-01-02,16,2.45,4.0,83.0,101.74,0,0
2019-01-02,17,2.0275,3.5,87.0,101.7,0,0
2019-01-02,18,2.0700000000000003,3.5,87.0,101.66,0,0
2019-01-02,19,1.87,3.4,88.0,101.61,0,0
2019-01-02,20,2.0975,3.9,86.0,101.54,0,0
2019-01-02,21,1.935,4.0,89.0,101.45,0,0
2019-01-02,22,2.0475000000000003,4.1,90.0,101.36,0,0
2019-01-02,23,2.1225,4.4,93.0,101.29,0,0
2019-01-03,0,0.8325,4.7,94.0,101.19,0,0
2019-01-03,1,0.5700000000000001,5.0,95.0,101.09,0,0
2019-01-03,2,0.52,5.3,95.0,101.04,0,0
2019-01-03,3,0.4275,5.5,96.0,101.0,0,0
2019-01-03,4,0.56,5.7,96.0,100.98,0,0
2019-01-03,5,0.49249999999999994,5.8,95.0,100.88,0,0
2019-01-03,6,0.6075,6.1,96.0,100.78,0,0
2019-01-03,7,0.8575,6.2,96.0,100.72,0,0
2019-01-03,8,0.76,6.6,97.0,100.7,0,0
2019-01-03,9,0.725,7.8,97.0,100.64,0,0
2019-01-03,10,0.615,8.1,96.0,100.64,0,0
2019-01-03,11,2.2249999999999996,8.3,95.0,100.61,0,0
2019-01-03,12,1.7125,8.5,94.0,100.59,0,0
2019-01-03,13,1.805,8.6,95.0,100.49,0,0
2019-01-03,14,1.825,8.9,96.0,100.45,0,0
2019-01-03,15,2.01,9.2,96.0,100.46,0,0
2019-01-03,16,2.85,9.3,95.0,100.41,0,0
2019-01-03,17,1.95,9.1,97.0,100.45,0,0
2019-01-03,18,2.0324999999999998,9.1,97.0,100.44,0,0
2019-01-03,19,1.9375,8.8,97.0,100.39,0,0
2019-01-03,20,1.9700000000000002,8.9,97.0,100.26,0,0
2019-01-03,21,1.8424999999999998,8.7,97.0,100.17,0,0
2019-01-03,22,1.3975,8.8,98.0,100.11,0,0
2019-01-03,23,0.885,9.0,97.0,100.03,0,0
2019-01-04,0,0.64,8.05,97.0,100.105,0,0
2019-01-04,1,0.3625,7.1,97.0,100.18,0,0
2019-01-04,2,0.335,6.6,90.0,100.27,0,0
2019-01-04,3,0.485,6.4,94.0,100.34,0,0
2019-01-04,4,0.3775,7.2,93.0,100.29,0,0
2019-01-04,5,0.405,8.0,95.0,100.28,0,0
2019-01-04,6,0.4575,8.3,94.0,100.31,0,0
2019-01-04,7,0.965,8.2,93.0,100.35,0,0
2019-01-04,8,0.6900000000000001,8.4,89.0,100.4,0,0
2019-01-04,9,0.7175,8.6,87.0,100.45,0,0
2019-01-04,10,0.975,8.7,88.0,100.53,0,0
2019-01-04,11,1.3675000000000002,8.9,89.0,100.6,0,0
2019-01-04,12,1.3900000000000001,9.2,85.0,100.63,0,0
2019-01-04,13,1.5950000000000002,9.6,87.0,100.65,0,0
2019-01-04,14,1.355,9.8,79.0,100.67,0,0
2019-01-04,15,1.13,9.3,87.0,100.72,0,0
2019-01-04,16,1.17,9.3,84.0,100.76,0,0
2019-01-04,17,1.5925,8.9,85.0,100.81,0,0
2019-01-04,18,2.1925,8.8,89.0,100.85,0,0
2019-01-04,19,2.0125,8.5,91.0,100.92,0,0
2019-01-04,20,1.945,8.5,89.0,100.96,0,0
2019-01-04,21,2.6550000000000002,8.1,91.0,100.97,0,0
2019-01-04,22,1.8725,8.0,92.0,100.98,0,0
2019-01-04,23,1.6675,7.6,90.0,100.93,0,0
2019-01-05,0,0.8025,7.8,88.5,100.86000000000001,1,0
2019-01-05,1,0.6975,8.0,87.0,100.79,1,0
2019-01-05,2,0.7,7.8,87.0,100.72,1,0
2019-01-05,3,0.615,6.6,92.0,100.68,1,0
2019-01-05,4,0.5975,6.0,96.0,100.61,1,0
2019-01-05,5,0.47250000000000003,6.0,96.0,100.5,1,0
2019-01-05,6,0.545,6.0,95.0,100.42,1,0
2019-01-05,7,0.7825,6.1,93.0,100.31,1,0
2019-01-05,8,1.0100000000000002,6.0,90.0,100.26,1,0
2019-01-05,9,1.4475000000000002,6.3,86.0,100.14,1,0
2019-01-05,10,1.095,6.2,85.0,100.11,1,0
2019-01-05,11,1.075,7.0,86.0,100.03,1,0
2019-01-05,12,1.4625,7.3,86.0,99.92,1,0
2019-01-05,13,0.9025000000000001,7.8,84.0,99.76,1,0
2019-01-05,14,1.2225,7.1,88.0,99.58,1,0
2019-01-05,15,1.1949999999999998,7.3,90.0,99.49,1,0
2019-01-05,16,1.4474999999999998,7.0,89.0,99.36,1,0
2019-01-05,17,1.9825,6.7,89.0,99.25,1,0
2019-01-05,18,2.5425,7.3,87.0,99.17,1,0
2019-01-05,19,2.2375,8.5,76.0,99.16,1,0
2019-01-05,20,1.98,7.7,84.0,99.1,1,0
2019-01-05,21,1.8325,7.6,86.0,99.01,1,0
2019-01-05,22,2.2800000000000002,7.3,89.0,98.9,1,0
2019-01-05,23,1.23,7.0,86.0,98.8,1,0
2019-01-06,0,1.225,7.1,86.5,98.75,1,0
2019-01-06,1,0.7925,7.2,87.0,98.7,1,0
2019-01-06,2,0.3625,6.8,92.0,98.63,1,0
2019-01-06,3,0.3875,7.2,89.0,98.61,1,0
2019-01-06,4,0.41000000000000003,6.6,95.0,98.69,1,0
2019-01-06,5,0.345,6.8,92.0,98.71,1,0
2019-01-06,6,0.7224999999999999,6.8,78.0,99.02,1,0
2019-01-06,7,0.4525,6.7,76.0,99.36,1,0
2019-01-06,8,0.6174999999999999,6.7,74.0,99.54,1,0
2019-01-06,9,0.8125,6.2,78.0,99.68,1,0
2019-01-06,10,1.305,5.9,82.0,99.82,1,0
2019-01-06,11,0.66,6.2,80.0,99.89,1,0
2019-01-06,12,0.7825,6.6,78.0,99.96,1,0
2019-01-06,13,1.0875,6.5,77.0,99.95,1,0
2019-01-06,14,1.2925,7.8,75.0,99.97,1,0
2019-01-06,15,1.49,7.2,76.0,99.95,1,0
2019-01-06,16,2.015,6.0,78.0,99.98,1,0
2019-01-06,17,2.04,5.0,84.0,100.01,1,0
2019-01-06,18,1.5025,4.8,85.0,100.04,1,0
2019-01-06,19,1.7325,4.7,86.0,100.07,1,0
2019-01-06,20,1.9375,3.8,87.0,100.08,1,0
2019-01-06,21,1.6775000000000002,3.8,87.0,100.13,1,0
2019-01-06,22,1.6125,3.9,86.0,100.18,1,0
2019-01-06,23,1.6075,3.6,88.0,100.2,1,0
2019-01-07,0,1.565,3.05,91.5,100.28,0,0
2019-01-07,1,0.8574999999999999,2.5,95.0,100.36,0,0
2019-01-07,2,0.925,2.9,93.0,100.44,0,0
2019-01-07,3,0.5525,2.1,94.0,100.53,0,0
2019-01-07,4,0.6224999999999999,2.9,95.0,100.63,0,0
2019-01-07,5,0.44,3.7,93.0,100.75,0,0
2019-01-07,6,0.8875000000000001,4.9,81.0,100.8,0,0
2019-01-07,7,0.9000000000000001,4.5,79.0,100.99,0,0
2019-01-07,8,1.0725,4.5,74.0,101.17,0,0
2019-01-07,9,1.705,4.0,69.0,101.31,0,0
2019-01-07,10,1.3849999999999998,4.2,68.0,101.49,0,0
2019-01-07,11,1.595,4.4,59.0,101.67,0,0
2019-01-07,12,1.1625,5.1,59.0,101.81,0,0
2019-01-07,13,1.135,5.3,58.0,101.88,0,0
2019-01-07,14,1.6475,5.6,60.0,101.98,0,0
2019-01-07,15,1.8525,5.6,56.0,102.05,0,0
2019-01-07,16,1.7349999999999999,5.1,56.0,102.19,0,0
2019-01-07,17,1.51,3.8,63.0,102.27,0,0
2019-01-07,18,2.5625,2.5,64.0,102.31,0,0
2019-01-07,19,2.5625,2.3,63.0,102.37,0,0
2019-01-07,20,2.2474999999999996,1.7,78.0,102.43,0,0
2019-01-07,21,2.365,1.6,78.0,102.52,0,0
2019-01-07,22,2.5875,1.1,81.0,102.52,0,0
2019-01-07,23,2.0374999999999996,1.2,82.0,102.48,0,0
2019-01-08,0,1.395,0.85,81.5,102.41499999999999,0,0
2019-01-08,1,1.07,0.5,81.0,102.35,0,0
2019-01-08,2,0.8624999999999999,0.2,77.0,102.24,0,0
2019-01-08,3,0.785,-0.5,84.0,102.27,0,0
2019-01-08,4,0.76,-0.4,83.0,102.25,0,0
2019-01-08,5,0.8625,-0.4,79.0,102.12,0,0
2019-01-08,6,0.8975,0.3,76.0,102.02,0,0
2019-01-08,7,1.09,1.6,75.0,101.95,0,0
2019-01-08,8,0.9450000000000001,0.5,80.0,101.89,0,0
2019-01-08,9,1.12,2.5,63.0,101.79,0,0
2019-01-08,10,1.205,2.8,66.0,101.83,0,0
2019-01-08,11,1.0975000000000001,2.1,76.0,101.8,0,0
2019-01-08,12,1.3725,3.4,73.0,101.76,0,0
2019-01-08,13,1.2175,4.4,67.0,101.62,0,0
2019-01-08,14,1.065,4.2,74.0,101.43,0,0
2019-01-08,15,1.1475,5.3,74.0,101.31,0,0
2019-01-08,16,1.3925,4.9,74.0,101.27,0,0
2019-01-08,17,2.0825,4.3,88.0,101.17,0,0
2019-01-08,18,2.01,3.7,91.0,101.15,0,0
2019-01-08,19,2.0,3.6,94.0,101.1,0,0
2019-01-08,20,1.895,3.7,95.0,101.03,0,0
2019-01-08,21,1.455,3.9,94.0,100.98,0,0
2019-01-08,22,1.5925,3.8,94.0,100.97,0,0
2019-01-08,23,2.4924999999999997,4.0,93.0,100.9,0,0
2019-01-09,0,1.17,4.0,94.0,100.85,0,0
2019-01-09,1,0.53,4.0,95.0,100.8,0,0
2019-01-09,2,0.5950000000000001,3.8,97.0,100.62,0,0
2019-01-09,3,0.47250000000000003,4.3,97.0,100.62,0,0
2019-01-09,4,0.5725,4.1,97.0,100.62,0,0
2019-01-09,5,0.5025,3.9,98.0,100.57,0,0
2019-01-09,6,0.6000000000000001,4.0,98.0,100.49,0,0
2019-01-09,7,1.1949999999999998,4.3,98.0,100.5,0,0
2019-01-09,8,0.94,4.7,98.0,100.49,0,0
2019-01-09,9,0.84,4.8,96.0,100.52,0,0
2019-01-09,10,1.01,5.7,97.0,100.54,0,0
2019-01-09,11,1.235,6.0,96.0,100.54,0,0
2019-01-09,12,1.1125,6.7,96.0,100.52,0,0
2019-01-09,13,1.2475,8.0,93.0,100.4,0,0
2019-01-09,14,1.2374999999999998,8.9,88.0,100.29,0,0
2019-01-09,15,1.065,9.3,83.0,100.26,0,0
2019-01-09,16,1.425,9.6,80.0,100.27,0,0
2019-01-09,17,1.545,9.1,84.0,100.32,0,0
2019-01-09,18,1.545,8.7,86.0,100.37,0,0
2019-01-09,19,1.645,9.1,83.0,100.39,0,0
2019-01-09,20,1.9375,10.2,79.0,100.46,0,0
2019-01-09,21,1.68,10.2,82.0,100.47,0,0
2019-01-09,22,1.7675,10.0,84.0,100.54,0,0
2019-01-09,23,0.9775,10.0,85.0,100.63,0,0
2019-01-10,0,0.5375,9.8,87.5,100.75,0,0
2019-01-10,1,0.5475,9.6,90.0,100.87,0,0
2019-01-10,2,0.3175,9.5,93.0,100.97,0,0
2019-01-10,3,0.37250000000000005,9.4,94.0,101.11,0,0
2019-01-10,4,0.37,9.4,94.0,101.27,0,0
2019-01-10,5,0.40249999999999997,8.8,94.0,101.3,0,0
2019-01-10,6,0.5325,8.7,96.0,101.33,0,0
2019-01-10,7,0.685,8.8,95.0,101.38,0,0
2019-01-10,8,0.545,8.6,97.0,101.45,0,0
2019-01-10,9,1.0,8.7,97.0,101.54,0,0
2019-01-10,10,1.785,8.8,96.0,101.64,0,0
2019-01-10,11,1.9375,9.8,94.0,101.71,0,0
2019-01-10,12,1.5675,10.2,89.0,101.77,0,0
2019-01-10,13,1.6099999999999999,10.5,87.0,101.77,0,0
2019-01-10,14,1.3399999999999999,10.9,84.0,101.78,0,0
2019-01-10,15,1.175,10.6,84.0,101.77,0,0
2019-01-10,16,1.27,10.6,84.0,101.8,0,0
2019-01-10,17,1.4100000000000001,10.4,84.0,101.8,0,0
2019-01-10,18,1.5699999999999998,10.6,82.0,101.78,0,0
2019-01-10,19,1.56,10.2,84.0,101.76,0,0
2019-01-10,20,1.3599999999999999,10.2,84.0,101.74,0,0
2019-01-10,21,1.3325,9.1,88.0,101.74,0,0
2019-01-10,22,1.8524999999999998,9.2,89.0,101.77,0,0
2019-01-10,23,2.0675,8.9,89.0,101.78,0,0
2019-01-11,0,1.25,8.600000000000001,90.0,101.765,0,0
2019-01-11,1,1.2174999999999998,8.3,91.0,101.75,0,0
2019-01-11,2,0.795,7.7,91.0,101.73,0,0
2019-01-11,3,0.835,7.7,93.0,101.72,0,0
2019-01-11,4,0.72,7.7,92.0,101.74,0,0
2019-01-11,5,0.65,7.7,93.0,101.69,0,0
2019-01-11,6,0.8275,7.4,94.0,101.64,0,0
2019-01-11,7,1.045,6.9,93.0,101.61,0,0
